query-db

img-text	1144-145:  [0.4069914005669887]
img-img		1144-1144:  [0.2737879083213162]
img-video	1144-539:  [0.2947011875625566]
img-all		1144-1828:  [0.28452297481495187]

text-text	145-145:  [0.5215859596635951]
text-img	145-1144:  [0.2919159694486045]
text-video	145-539:  [0.32681368391597304]
text-all	145-1828:  [0.3138315909340921]

video-text	539-145:  [0.43250703800728313]
video-img	539-1144:  [0.29270605167140296]
video-video	539-539:  [0.3010878618141019]
video-all	539-1828:  [0.2991764717256948]

PR values in: 145-145-recall-11-point-sim-as-prediction.pkl
